Job Title,Industry,AI Impact,Tasks,AI models,AI_Workload_Ratio,Required Education,Median Salary (USD),Expected Openings (2030),AI Impact Original,Experience Required (Years),Automation Risk (%)
Visual Designer,Architecture & Engineering,45,182,1753,0.103822019,Bachelor's Degree,60000,1281,45%,3,32.35
Recruiter,Information Technology,45,222,2034,0.109144543,High School Diploma,35000,1404,45%,3,33.97
Recruitment Specialist,Information Technology,45,219,2009,0.109009457,Bachelor's Degree,78000,1969,45%,2,33.84
Senior Recruiter,Information Technology,45,217,2002,0.108391608,High School Diploma,35000,1425,45%,3,33.78
Paralegal Assistant,Administrative & Office Support,45,192,1856,0.103448276,Associate Degree,40500,1023,45%,0,32.85
Patent Paralegal,General Business,45,189,1813,0.104247104,High School Diploma,35000,1082,45%,3,32.67
Personal Injury Paralegal,General Business,45,183,1731,0.105719237,High School Diploma,35000,921,45%,3,32.31
Trademark Paralegal,General Business,45,192,1837,0.104518236,High School Diploma,35000,1065,45%,3,32.8
Healthcare Analyst,Finance & Banking,45,623,1952,0.319159836,Doctorate / PhD,130000,1034,45%,3,41.57
Medical Administrator,Healthcare,45,521,1676,0.310859189,Bachelor's Degree,60000,2314,45%,3,39.04
Medical Office Administrator,Healthcare,45,544,1812,0.300220751,Bachelor's Degree,60000,2338,45%,3,39.74
Medical Records Clerk,Healthcare,45,569,1830,0.310928962,Associate Degree,40500,2061,45%,0,40.27
Medical Records Technician,Information Technology,45,568,1830,0.310382514,Associate Degree,45000,1665,45%,2,40.25
Pharmacy Clerk,Administrative & Office Support,45,66,433,0.152424942,High School Diploma,31500,944,45%,0,26.5
Buyer,Logistics & Supply Chain,45,607,2062,0.294374394,High School Diploma,35000,1071,45%,3,41.47
Export Coordinator,General Business,45,557,1750,0.318285714,High School Diploma,35000,1038,45%,5,39.89
Inventory Controller,General Business,45,550,1699,0.323719835,High School Diploma,35000,915,45%,3,39.67
Inventory Coordinator,General Business,45,546,1664,0.328125,High School Diploma,35000,1075,45%,5,39.53
Logistics Associate,Logistics & Supply Chain,45,518,1647,0.314511233,High School Diploma,35000,1003,45%,3,38.93
Shipping Supervisor,Logistics & Supply Chain,45,191,1812,0.105408389,High School Diploma,35000,1010,45%,5,32.7
Assistant Account Executive,Finance & Banking,45,677,2220,0.304954955,Master's Degree,120000,1203,45%,0,43.15
Associate Editor,Information Technology,45,717,2474,0.289814066,High School Diploma,35000,1413,45%,3,44.47
Broadcast Technician,Information Technology,45,625,2565,0.243664717,Associate Degree,45000,1529,45%,2,43
Content Editor,Information Technology,45,838,3084,0.271725032,High School Diploma,35000,1384,45%,3,48.19
Transcriptionist,General Business,45,187,1764,0.10600907,High School Diploma,35000,1000,45%,3,32.48
Qa Engineer,Information Technology,45,169,1722,0.098141696,Bachelor's Degree,78000,1633,45%,3,32
Warehouse Packer,Logistics & Supply Chain,45,113,1239,0.091202583,High School Diploma,31500,1161,45%,3,29.41
Warehouse Picker,Logistics & Supply Chain,45,114,1242,0.09178744,High School Diploma,31500,1038,45%,3,29.45
Warehouse Selector,Logistics & Supply Chain,45,114,1242,0.09178744,High School Diploma,31500,1194,45%,3,29.45
Management Consulting,General Business,45,536,1784,0.30044843,High School Diploma,35000,1075,45%,3,39.53
Principal Consultant,General Business,45,207,1899,0.109004739,Master's Degree,80000,1129,45%,3,33.28
Senior Consultant,General Business,45,207,1897,0.109119663,Master's Degree,80000,1002,45%,3,33.27
Strategy Consultant,General Business,45,207,1907,0.108547457,Master's Degree,80000,1056,45%,3,33.3
Assistant Brand Manager,Administrative & Office Support,45,833,2992,0.278409091,Master's Degree,120000,1082,45%,0,47.86
Assistant Marketing Manager,Administrative & Office Support,45,841,3003,0.28005328,Master's Degree,120000,1000,45%,0,48.03
Associate Brand Manager,General Business,45,834,2991,0.27883651,Master's Degree,120000,1057,45%,5,47.87
Associate Marketing Manager,Sales & Marketing,45,834,2992,0.278743316,Master's Degree,120000,1297,45%,5,47.87
Brand Manager,General Business,45,862,2975,0.289747899,Master's Degree,120000,1201,45%,5,48.33
Brand Marketing Manager,Sales & Marketing,45,862,2976,0.289650538,Master's Degree,120000,1125,45%,5,48.33
Director Of Digital Marketing,Information Technology,45,847,2963,0.285858927,Master's Degree,120000,1583,45%,8,48.03
Director Of Marketing,Sales & Marketing,45,792,2879,0.275095519,Master's Degree,120000,1166,45%,8,46.83
Marketing,Sales & Marketing,45,863,3239,0.266440259,High School Diploma,35000,1016,45%,3,49.04
Marketing Account Executive,Finance & Banking,45,860,3234,0.265924552,Master's Degree,120000,1317,45%,8,48.98
Marketing Account Manager,Finance & Banking,45,866,3262,0.2654813,Master's Degree,120000,1316,45%,5,49.16
Marketing Director,Sales & Marketing,45,885,3293,0.268751898,Master's Degree,120000,1197,45%,8,49.57
Marketing Executive,Sales & Marketing,45,894,3311,0.270009061,Master's Degree,120000,1278,45%,8,49.78
Marketing Manager,Sales & Marketing,45,893,3300,0.270606061,Master's Degree,120000,1126,45%,5,49.73
Senior Marketing Manager,Sales & Marketing,45,226,2031,0.111275234,Master's Degree,120000,1326,45%,5,34.04
Social Media Marketing Manager,Sales & Marketing,45,256,2272,0.112676056,Master's Degree,120000,1208,45%,5,35.34
Agile Project Manager,General Business,45,629,2096,0.30009542,Master's Degree,120000,1157,45%,5,41.97
Director Of Product Management,General Business,45,707,2321,0.304610082,Master's Degree,120000,1016,45%,8,43.93
Pmo Analyst,Finance & Banking,45,204,1871,0.109032603,Doctorate / PhD,130000,996,45%,3,33.14
Product Development Manager,General Business,45,226,1981,0.114083796,Master's Degree,120000,1062,45%,5,33.89
Project Analyst,Finance & Banking,45,207,1901,0.108890058,Doctorate / PhD,130000,907,45%,3,33.28
Project Control Analyst,Finance & Banking,45,200,1845,0.108401084,Doctorate / PhD,130000,1037,45%,3,32.98
Project Management Consultant,General Business,45,213,1949,0.109286814,Master's Degree,80000,1076,45%,3,33.54
Director Of Ecommerce,Sales & Marketing,45,821,2899,0.283201104,Master's Degree,120000,1102,45%,8,47.4
Ecommerce Manager,Sales & Marketing,45,904,3345,0.270254111,Master's Degree,120000,1230,45%,5,50.05
Merchandise Buyer,Logistics & Supply Chain,45,677,2544,0.266116352,High School Diploma,35000,1046,45%,3,43.9
Autocad Draftsman,Architecture & Engineering,45,539,2297,0.234653896,High School Diploma,35000,914,45%,3,40.73
Concrete Pump Operator,Manufacturing & Labor,45,156,700,0.222857143,Associate Degree,40500,810,45%,2,29.45
Land Surveyor,General Business,45,323,1531,0.21097322,High School Diploma,35000,977,45%,3,34.67
Claims Analyst,Finance & Banking,45,732,2684,0.272727273,Doctorate / PhD,130000,895,45%,3,45.26
Claims Investigator,General Business,45,733,2717,0.269782849,High School Diploma,35000,1074,45%,3,45.36
Insurance Appraiser,Insurance,45,394,1396,0.282234957,High School Diploma,35000,974,45%,3,35.93
Insurance Investigator,Insurance,45,406,1386,0.292929293,High School Diploma,35000,1002,45%,3,36.18
Insurance Underwriter,Information Technology,45,464,1553,0.298776561,High School Diploma,35000,1634,45%,3,37.66
Band Director,General Business,45,292,1241,0.235294118,Master's Degree,120000,1183,45%,8,33.44
Education Specialist,Education,45,462,1578,0.292775665,Bachelor's Degree,78000,1236,45%,2,37.66
Environmental Educator,General Business,45,410,1386,0.295815296,High School Diploma,35000,970,45%,3,36.26
Training Manager,General Business,45,238,2083,0.114258281,Master's Degree,120000,1085,45%,5,34.43
Book Reviewer,General Business,45,602,2164,0.27818854,High School Diploma,35000,979,45%,3,41.6
Clinical Research,Healthcare,45,599,1940,0.308762887,High School Diploma,35000,1690,45%,3,41.07
Dietetic Technician,Information Technology,45,374,1337,0.27973074,Associate Degree,45000,1546,45%,2,35.41
Drug Safety Associate,Public Safety & Government,45,529,1667,0.317336533,High School Diploma,35000,896,45%,3,39.19
Formulation Scientist,General Business,45,449,1551,0.289490651,Doctorate / PhD,130000,769,45%,6,37.34
Healthcare Management,Healthcare,45,505,1644,0.307177616,High School Diploma,35000,1645,45%,3,38.66
Escrow Assistant,Administrative & Office Support,45,461,1536,0.300130208,Associate Degree,40500,1048,45%,0,37.57
Biomedical Technician,Information Technology,45,514,2125,0.241882353,Associate Degree,45000,1538,45%,2,39.83
Chemical Lab Technician,Information Technology,45,503,2116,0.237712665,Associate Degree,45000,1633,45%,2,39.6
Laboratory Technician,Information Technology,45,425,1462,0.290697674,Associate Degree,40500,1793,45%,2,36.7
Radiographer,General Business,45,75,961,0.078043704,High School Diploma,35000,909,45%,3,27.75
Research Analyst,Finance & Banking,45,199,1840,0.108152174,Doctorate / PhD,130000,999,45%,3,32.95
Account Analyst,Finance & Banking,45,623,2143,0.290713952,Doctorate / PhD,130000,1021,45%,3,41.95
Accounting Analyst,Finance & Banking,45,619,2132,0.290337711,Doctorate / PhD,130000,884,45%,3,41.85
Accounts Payable Analyst,Finance & Banking,45,622,2145,0.28997669,Doctorate / PhD,130000,1007,45%,3,41.94
Billing Clerk,Administrative & Office Support,45,621,2136,0.290730337,Associate Degree,40500,1049,45%,0,41.9
Billing Coordinator,General Business,45,620,2134,0.290534208,Associate Degree,45000,1106,45%,5,41.88
Billing Representative,General Business,45,619,2142,0.28898226,Associate Degree,45000,1177,45%,3,41.88
Billing Specialist,General Business,45,620,2135,0.290398126,Bachelor's Degree,78000,1133,45%,2,41.88
Billing Supervisor,General Business,45,606,2100,0.288571429,Associate Degree,45000,1122,45%,5,41.54
Finance Administrator,Finance & Banking,45,563,1767,0.318619128,Bachelor's Degree,60000,1478,45%,3,40.04
Finance Assistant,Finance & Banking,45,560,1762,0.317820658,Associate Degree,40500,1376,45%,0,39.97
Finance Associate,Finance & Banking,45,559,1758,0.317974972,High School Diploma,35000,1124,45%,3,39.95
Finance Consultant,Finance & Banking,45,561,1772,0.316591422,Master's Degree,80000,1353,45%,3,40.01
Financial Assistant,Finance & Banking,45,566,1763,0.321043676,Bachelor's Degree,54000,1425,45%,0,40.1
Financial Associate,Finance & Banking,45,563,1755,0.320797721,Bachelor's Degree,60000,1405,45%,3,40.02
Financial Coordinator,Finance & Banking,45,571,1820,0.313736264,Bachelor's Degree,60000,1343,45%,5,40.3
Financial Representative,Finance & Banking,45,539,1715,0.314285714,Bachelor's Degree,60000,1409,45%,3,39.47
Financial Services Representative,Finance & Banking,45,538,1714,0.313885648,Bachelor's Degree,60000,1494,45%,3,39.45
Loan Specialist,Finance & Banking,45,485,1578,0.307351077,Bachelor's Degree,78000,1495,45%,2,38.14
Staff Auditor,Information Technology,45,184,1848,0.0995671,High School Diploma,35000,1642,45%,3,32.67
Tax Manager,Finance & Banking,45,186,1880,0.09893617,Master's Degree,120000,1274,45%,5,32.81
Valuation Analyst,Finance & Banking,45,179,1633,0.109614207,Doctorate / PhD,130000,948,45%,3,31.94
Clinical Coordinator,Healthcare,45,690,2244,0.307486631,High School Diploma,35000,1715,45%,5,43.45
Clinical Support Specialist,Healthcare,45,592,1892,0.312896406,Bachelor's Degree,78000,1992,45%,2,40.84
Certified Welding Inspector,General Business,45,105,477,0.220125786,Certification / Professional,65000,1184,45%,3,27.9
Computer Technician,Information Technology,45,475,1535,0.309446254,Associate Degree,45000,1646,45%,2,37.86
General Maintenance Technician,Information Technology,45,299,1114,0.268402154,Associate Degree,45000,1523,45%,2,33.43
General Service Technician,Information Technology,45,303,1118,0.271019678,Associate Degree,45000,1733,45%,2,33.53
Industrial Maintenance Mechanic,General Business,45,296,1171,0.252775406,High School Diploma,35000,1049,45%,3,33.43
Industrial Maintenance Technician,Information Technology,45,295,1170,0.252136752,Associate Degree,45000,1745,45%,2,33.41
Service Advisor,General Business,45,192,1798,0.106785317,High School Diploma,35000,1003,45%,3,32.68
Cnc Machine Operator,Manufacturing & Labor,45,265,980,0.270408163,Associate Degree,40500,729,45%,2,32.48
Inventory Control Supervisor,General Business,45,509,1635,0.311314985,High School Diploma,35000,1046,45%,5,38.72
Manufacturing Associate,General Business,45,317,1084,0.292435424,High School Diploma,35000,1097,45%,3,33.82
Operator,Manufacturing & Labor,45,98,1180,0.083050847,Associate Degree,40500,706,45%,2,28.91
Order Selector,General Business,45,116,1331,0.087152517,High School Diploma,35000,1029,45%,3,29.74
Scanner,General Business,45,149,1537,0.096942095,High School Diploma,35000,1064,45%,3,31.04
Pcb Design Engineer,Information Technology,45,120,1161,0.103359173,Bachelor's Degree,78000,1729,45%,3,29.36
Pcb Designer,Architecture & Engineering,45,120,1161,0.103359173,Bachelor's Degree,60000,1230,45%,3,29.36
Service Engineer,Information Technology,45,157,1594,0.098494354,Bachelor's Degree,78000,1653,45%,3,31.38
Document Control Specialist,General Business,45,542,1667,0.325134973,Bachelor's Degree,78000,1230,45%,2,39.45
Facility Coordinator,Information Technology,45,465,1530,0.303921569,High School Diploma,35000,1490,45%,5,37.64
Implementation Coordinator,General Business,45,552,1760,0.313636364,High School Diploma,35000,1061,45%,5,39.81
Medical Office Receptionist,Healthcare,45,422,1434,0.294281729,Associate Degree,40500,1998,45%,3,36.59
Medical Receptionist,Healthcare,45,422,1434,0.294281729,Associate Degree,40500,2078,45%,3,36.59
Regulatory Affairs Specialist,General Business,45,197,1814,0.108599779,Bachelor's Degree,78000,1117,45%,2,32.83
Validation Specialist,General Business,45,177,1761,0.100511073,Bachelor's Degree,78000,1173,45%,2,32.27
Bus Driver,General Business,45,80,426,0.187793427,High School Diploma,31500,1093,45%,3,27.04
Bus Operator,Manufacturing & Labor,45,80,426,0.187793427,Associate Degree,40500,771,45%,2,27.04
Class A CDL,General Business,45,81,437,0.185354691,High School Diploma,35000,999,45%,3,27.06
Company Driver,General Business,45,122,552,0.221014493,High School Diploma,31500,917,45%,3,28.42
Flatbed Driver,General Business,45,123,556,0.221223022,High School Diploma,31500,1083,45%,3,28.45
Local Cdl,General Business,45,124,547,0.226691042,High School Diploma,35000,978,45%,3,28.49
Local Delivery Driver,Logistics & Supply Chain,45,130,567,0.229276896,High School Diploma,31500,1170,45%,3,28.67
Local Truck Driver,General Business,45,128,566,0.22614841,High School Diploma,31500,994,45%,3,28.61
Otr Driver,General Business,45,27,184,0.14673913,High School Diploma,31500,1097,45%,3,25.01
Owner Operator,Manufacturing & Labor,45,46,468,0.098290598,Associate Degree,40500,833,45%,2,25.8
Parts Delivery Driver,Logistics & Supply Chain,45,27,183,0.147540984,High School Diploma,31500,1130,45%,3,25.01
Pizza Delivery Driver,Logistics & Supply Chain,45,26,181,0.143646409,High School Diploma,31500,1111,45%,3,24.95
School Bus Driver,General Business,45,25,180,0.138888889,High School Diploma,31500,949,45%,3,24.88
Tanker Driver,General Business,45,28,185,0.151351351,High School Diploma,31500,956,45%,3,25.07
Truck Driver,General Business,45,29,189,0.153439153,High School Diploma,31500,1007,45%,3,25.12
Trucker,General Business,45,28,185,0.151351351,High School Diploma,35000,995,45%,3,25.07
Casino Manager,General Business,45,463,1765,0.262322946,Master's Degree,120000,1078,45%,5,38.03
Dietary Manager,General Business,45,390,1405,0.277580071,Master's Degree,120000,1070,45%,5,35.86
Food Production Manager,General Business,45,421,1428,0.294817927,Master's Degree,120000,1065,45%,5,36.56
Gate Agent,General Business,45,331,1172,0.282423208,High School Diploma,35000,1091,45%,3,34.23
Hostess,General Business,45,276,995,0.277386935,High School Diploma,35000,903,45%,3,32.77
Hotel Front Desk,Administrative & Office Support,45,381,1361,0.27994122,High School Diploma,35000,943,45%,3,35.6
Hotel Receptionist,Administrative & Office Support,45,381,1359,0.280353201,High School Diploma,31500,948,45%,3,35.59
Pediatric Oncology Nurse,General Business,45,372,1324,0.280966767,High School Diploma,35000,1080,45%,3,35.35
Chief Investment Officer,Administrative & Office Support,45,528,1845,0.286178862,Master's Degree,120000,999,45%,8,39.49
Nurse Practitioner,Information Technology,45,365,1268,0.28785489,High School Diploma,35000,1363,45%,3,35.12
Audio Technician,Information Technology,45,463,2059,0.22486644,Associate Degree,45000,1812,45%,2,38.69
